宸纶,1.帝王的诏书﹑制令。
蒋厉,"1.奖励。厉，同""励""。"
蒋山,1.即钟山。又名紫金山，在江苏省南京市东北『末有秣陵尉蒋子文逐盗死于此，三国吴孙权为立庙于钟山，因改称蒋山。见《初学记》卷八引《丹阳记》。
蒋生径,"1.见""蒋生径""。"
蒋士铨(1725-1784),清代诗人。字心馀、苕生，号藏园、清容居士，江西铅山人。乾隆年间进士。官翰林院编修，辞官后在几个书院主持讲席。论诗主张性灵”。有《藏园九种曲》、《忠雅堂集》。
蒋月泉(1917- ),苏州弹词演员。江苏苏州人。曾师从张云亭和周玉泉。在俞(秀山)调”和周(玉泉)调”基础上，创造了旋律婉转、韵味醇厚的蒋调”，为现代苏州弹词主要流派唱腔之一。现任中国曲艺家协会副主席。
蒋子龙(1941- ),作家∮北沧县人。1960年参加中国人民解放军，复员后曾在天津重型机器厂当工人。1985年任中国作协天津分会副主席。著有短篇小说《乔厂长上任记》、《一个工厂秘书的日记》、《拜年》，中篇小说《开拓者》、《赤橙黄绿青蓝紫》、《燕赵悲歌》，长篇小说《蛇神》及文艺理论集《不惑之谈》等。
奬拔,1.奖励提拔。
奬杯,1.体育运动比赛中发给优胜者的杯状奖品﹐一般用金银等做成。其它竞赛活动有时亦用奖杯。
奬成,"1.助成。 
2.谓顺成。"
奬惩,1.奖励和惩罚。
奬崇,1.推许尊崇。
奬宠,1.奖掖爱护。
奬顾,1.赏识眷顾。
奬护,1.鼓励爱护。
奬激,1.嘉奖激励。
奬寄,1.赏识并委以重任。
奬借,1.勉励推许。
奬藉,1.犹奖借。
奬金,1.作奖励用的钱。
奬进,1.称许荐引。
奬就,"1.亦作""奬?""。 
2.犹助成。"
奬眷,1.赏识眷顾。
奬赉,1.奖赏。
奬劳,"1.奖其劳绩。 
2.谓嘉奖慰勉。"
奬厉,"1.见""奬励""。"
奬励,"1.亦作""奬厉""。亦作""奬砺""。 
2.犹勉励。 
3.现指给予荣誉或财物以资鼓励。"
奬砺,"1.见""奬励""。"
奬眄,1.赏识眷顾。
奬品,1.作奖励用的物品。
奬勤罚懒,"1.对工作勤恳或偷懒的人分别给以奖励或处罚。是改变分配中""吃大锅饭""现象的一项措拖。"
奬劝,"1.褒奖鼓励。 
2.劝谏。"
奬券,1.即彩票。金融企业等发售的一种证券﹐上面编着号码。奖券按票面价格出售﹐发售者从售款中提出一部分为奖金﹐分做若干等﹐中奖的按等级领奖﹐不中的完全作废。
奬任,1.赏识信任。
奬赏,1.奖励赏赐。
奬饰,1.犹奖誉﹐称誉。
奬售,1.我国政府对于向国家交售某些重要农副产品的社队和个人实行额外供应一定数量统销商品的鼓励办法。
奬顺,1.将顺。顺势助成。
奬说,"1.劝诱。 
2.揄扬。"
奬叹,1.称颂﹐赞叹。
奬题,1.奖掖揄扬。
奬渥,1.优厚的奖励。
奬许,1.称赞。
奬叙,1.犹奖励。
奬学金,1.学校﹑团体或个人等给予学习成绩优良的学生的奖金。
奬训,1.劝勉诱掖。
奬掖,1.推许扶持。
奬异,"1.破格的奖励。 
2.以为卓异而予以勉励。"
奬挹,1.赞赏推许。
奬引,"1.犹奖拔。 
2.谓奖掖。"
奬诱,1.勉励诱导。
奬育,1.扶掖培育。
奬谕,"1.皇帝对臣下褒奖﹑表彰。 
2.称官长对下属的嘉奖。"
奬遇,1.奖许赏识。
奬誉,1.夸奖称许。
奬赞,1.夸奖赞许。
奬札,1.旧时发给有劳绩官员的一种奖状﹐形如札子。内叙明受奖人的工作成绩﹐并可奖以虚衔或实职。
奬章,1.发给受奖人佩带的徽章。
奬知,1.赏识知遇。
奬助,"1.奖许助成。 
2.犹赞助。"
奬状,1.为奖励而发的荣誉证书。
奬擢,1.犹奖拔。
膙胿,1.大腹﹔腹肥貌。
膙子,1.趼子。手掌或脚掌因劳动或走路时摩擦多而生的硬皮。
顜心,1.齐心。
匠班,1.指从外地轮班征调到京师官办手工业中服徭役的工匠。
匠笔,"1.谓写作文章。 
2.谓板滞﹑不生动的诗文。"
匠伯,1.即匠石。
匠成,1.培养造就。
匠费,1.施工的费用。
匠工,1.工匠。
匠户,"1.世业的工匠。 
2.元代统治者为便于强制征调各类工匠服徭役，将工匠编入专门户籍，称为""匠户""。子孙世代承袭，不得脱籍改业。至明改为轮班轮作，除分班定期服役外，其余时间可以自制成品出售，成为半自由的手工业者。清顺治二年(1645)废除匠籍，匠人才获自由身份。"
匠化,1.教化。
匠画,1.工匠用界尺作的图画◇指缺乏艺术特色的作品。
匠籍,1.匠人的户籍。
匠军,1.在军籍的匠人。
匠骊,"1.见""匠丽""。"
匠黎,"1.见""匠丽""。"
匠理,1.精心整治。
匠丽,"1.亦作""匠骊""。亦作""匠黎""。 
2.复姓。春秋时有匠丽氏，见《左传．成公十七年》。《史记．晋世家》作""匠骊"";《大戴礼记．保傅》作""匠黎""。"
匠门弃材,1.比喻无用之人。自谦之称。
匠人,旧指手艺工人。
匠师,"1.主管众工匠的官员。周代始设，相当于汉以后的将作大匠。 
2.泛指工匠。"
匠石,"1.古代名石的巧匠。《庄子．徐无鬼》""郢人垩慢其鼻端﹐若蝇翼﹐使匠石斲之。匠石运斤成风﹐听而斫之﹐尽垩而鼻不伤﹐郢人立不失容。""后亦用以泛称能工巧匠或擅长写作的人。"
匠氏,1.木匠;工匠。
匠世,1.治世。
匠手,1.技艺高明的能手。
匠思,1.犹匠心。
匠心独运,1.工巧独特的艺术构思。
匠学,1.界画的别称。因其渊源于工匠，故称。
匠衙,1.旧时县府管理工匠的机构。
匠役,1.旧指给官府或官宦人家服役的工匠。
匠意,1.犹措意;刻意。
匠营,1.指土木工。
匠郢,"1.匠石和郢人的并称。匠石郢人相配合，才能表演""运斤成风""的绝技。见《庄子．徐无鬼》◇用以称相知之人。"
匠宰,1.主持考核铨叙官吏的高级官员。
匠者,1.木工;工匠。
匠指,"1.工匠。语本《庄子．胠箧》""毁絶钩绳，而弃规矩，攦工倕之指，而天下始人有其巧矣。"""
匠质,"1.《庄子．徐无鬼》""郢人垩慢其鼻端，若蝇翼，使匠石斫之。匠石运斤成风，听而斫之，尽垩而鼻不伤，郢人立不失容。宋元君闻之，召匠石曰'尝试为寡人为之。'匠石曰'臣则尝能斫之。虽然，臣之质死久矣;自夫子之死也，吾无以为质矣，吾无与言之矣。'""成玄英疏""质，对也。匠石虽巧，必须不动之质。""后因以""匠质""指知己友人。"
匠斲,1.工匠。
匠资,1.施工的费用。
匠作,1.工匠。
弜仓,1.泛指储存粮草的仓库。
弜储,1.指库藏的粮草。
弜积,"1.指库藏的粮食或秣草。 
2.古星座名。即刍藳。"
弜聚,1.指库藏的粮草。
弜库,1.犹弜仓。
弜廪,1.储存粮草的仓库。亦借指所储粮草。
弜头虎子,1.我国古代西南少数民族板榡蛮的别称。
降拜,1.下堂拜宾。
降半旗,下半旗。
降北,1.投降败逃。
降本流末,1.犹言舍本逐末。
降笔,1.犹降箕。
降避,1.犹退避。
降贬,1.降官贬职。
降变,1.投降叛变。
降表,1.请求投降的表文。
降播,"1.谓教民播种。语出《书．吕刑》﹕""稷降播种﹐农殖嘉谷。""孔传﹕""后稷下教民播种。"""
降薄,1.谓自我菲薄﹐自以为不如。
降部,1.投降的部落。
降差,1.高低差别。
徽车,"1.饰有徽帜的车。《汉书．扬雄传上》""徽车轻武，鸿絧緁猎。""颜师古注""徽车，有徽帜之车也。""一说轻疾的车。"
徽尘,1.美好的事迹。
徽称,1.褒扬赞美的称号。
徽德,1.美德。
徽睇,1.犹美盼。
徽典,"1.盛美的典礼。 
2.美好的典常。语出《书．舜典》""慎徽五典。""孔传""徽﹐美也;五典﹐五常之教。"" 
3.美好的典章。"
徽范,1.懿范﹐美好的风范。
徽芳,1.盛德;美德。
徽风,"1.美好的风范。 
2.好风﹐和风。"
徽绋,1.绳索。引申为束缚。
徽号,美好的称号同学送给他‘诗人’的～。
徽赫,1.美好而显赫。
徽华,1.犹休光。喻美德。
徽徽,"1.美善。 
2.灿烂。徽﹐通""辉""。 
3.静谧貌。"
徽霍,"1.辉光霍闪。徽﹐通""辉""。"
徽绩,1.伟绩。
徽金,1.金饰的琴徽。亦用作琴徽的美称。
徽剧,安徽地方戏曲剧种之一，流行于该省和江苏、浙江、江西等地区。旧称徽调。
徽客,1.旧指徽州籍的客商。
徽烈,1.宏业﹐伟业。
徽美,1.美好。多指美德。
徽猛,1.谓束缚猛兽。
徽庙,"1.北宋皇帝赵佶庙号徽宗﹐宋人因称徽宗为""徽庙""。"
徽名,1.美名。
徽命,"1.大命。指天命。 
2.大命。指诏命。"
徽纆,"1.亦作""徽墨""。 
2.绳索。古时常特指拘系罪人者。 
3.引申为捆绑;囚禁。 
4.比喻法度或规矩。"
徽派,1.篆刻流派之一。篆刻专学秦汉﹐风格朴茂苍秀。为明嘉靖时安徽婺源(今属江西)人何震所开创，继起者多属徽州籍，因有徽派之称。也称皖派。
徽纄,"1.见""徽媜""。"
徽腔,1.即徽调。
徽钦,1.北宋徽宗﹑钦宗二帝的并称。二帝于靖康二年为金人所俘，后死于金国。
徽荣,1.犹荣誉。
徽容,"1.美好的风范;美好的容貌。 
2.用为画像的美称。"
徽柔,1.善良仁慈。
徽商,1.旧指徽州籍的商人。宋代逐渐形成﹐明清时其商业活动遍及全国﹐在长江中下游一带颇有势力。清末渐趋衰落。经营业务主要有盐﹑米﹑丝﹑茶﹑墨﹑木材﹑典当和对外贸易﹐其中以盐商﹑文具商和典当商为最着。
徽声,1.美好的声誉。
徽绳,1.徽索。指捆绑罪人的绳索。亦比喻囚禁。
徽识,"1.古代朝廷或军中用以识别的标志﹐形似小旌旗。 
2.泛指标志。"
徽束,1.束缚。
徽数,1.谓褒赐封赏之礼数。
徽索,1.拘系罪人的绳索。亦谓以绳索拘系。
徽网,1.绳网。喻指刑法。
徽望,1.美好的声望。
徽位,1.大位﹐帝位。
徽文,"1.盛美之文德。 
2.美好的诗文。"
徽物,1.指区别等级的标志物，如旌旗﹑服饰等。
徽弦,"1.见""徽弦""。"
徽显,"1.美好显明。《文选．左思》""乾坤交泰而絪缊，嘉祥徽显而豫作。""李周翰注""徽，美也。""一说，同""微显""。谓显示隐微。"
徽行,1.美好的德行。
徽言,1.美言﹐善言。
徽仪,1.美好的仪容。
徽懿,1.美好。
徽音,"1.犹德音。指令闻美誉。 
2.佳音，嘉讯。 
3.优美的乐声。多指琴声。"
徽庸,1.丰功﹐伟绩。
徽猷,1.美善之道。猷﹐道。指修养﹑本事等。
徽誉,1.美誉。
徽章,佩带在身上用来表示身份、职业等的标志，多用金属制成。
徽真,1.美人的肖像。
徽轸,1.琴腹下转动琴弦的轴。
徽媜,"1.亦作""徽纄""。 
2.乖戾貌。徽﹐通""?""。"
徽政,1.美政﹐善政。
徽织,"1.同""徽识""。"
徽志,1.标志。
徽帜,"1.同""徽识""。 
2.泛指标志。"
徽纻,1.苎麻纤维﹐亦指用苎麻纤维纺成的纱或织成的布。
徽祖,1.指宋徽宗。
徽祚,1.犹洪福。
隳败,1.衰败﹔败坏。
隳敝,1.毁坏﹔残破。
隳残,1.衰败残破。
隳硩,1.捣毁。
隳弛,1.松弛﹔懈怠﹔废弛。
隳摧,1.犹坍塌。
隳脞,1.谓不可为或对事情苛责过细。
隳胆,1.剖胆﹐比喻真诚。
隳胆抽肠,1.犹言披肝沥胆。表示真心诚意。
隳颠,1.秃顶。
隳顿,1.毁坏﹔倒塌。
隳堕,"1.失败﹐不成功。 
2.败落。"
隳惰,"1.懈怠。隳﹐通""惰""。"
隳放,1.罢官放逐。
隳废,"1.毁坏﹔破坏。 
2.毁弃﹔废弃。多用于抽象事物。"
隳肝尝胆,1.犹言隳肝沥胆。
隳肝沥胆,1.谓剖开肝胆以示真诚。比喻尽心竭力。
隳官,1.罢官﹔解职。
隳坏,"1.毁坏﹔败坏。 
2.废弛﹔废弃。"
隳节,1.犹失节。
隳旷,1.旷废。
隳剌,1.互相诋毁﹐互相掣肘。
隳裂,1.毁坏﹔败坏。
隳凌,1.毁坏和僭越。
隳沦,1.败坏。
隳落,1.毁坏和失落。
隳慢,"1.怠惰﹔怠慢。隳﹐通""惰""。"
隳靡,1.毁伤﹐毁坏。
隳名,1.谓隐姓埋名。
隳圮,1.倾坍﹔倒塌。
隳雙,1.坍毁破败。
隳损,1.毁损﹔丧失。
隳突,骚扰；冲突悍吏之来吾乡，叫嚣乎东西，隳突乎南北。阝(右)部
隳颓,"1.衰败﹔毁败。 
2.消失﹔消沉。"
隳亡,1.灭亡。
隳紊,1.败坏紊乱。
隳懈,"1.懈怠。隳﹐通""惰""。"
隳心,1.犹言灰心丧气。
隳行,1.恶劣的品行。
隳形,1.毁伤身形。
隳斁,1.毁败﹔废弛。
隳引,"1.犹导引。 
2.表示指引。"
隳职,1.丢官。唐孟郊有《大隐坊崔从事郧以直隳职》诗。
隳坠,1.废弃﹐败坏。
鰴鲸,1.强大有力的鲸鱼。
回鞍,1.犹回马。
回跋,1.转向;往回走。
回靶,1.回车，勒辔回行。
回报,①报告（任务、使命等执行的情况）。②报答；酬报做好事不图～。③报复你这样恶意攻击人家，总有一天会遭到～的。
回抱,1.犹环抱。
回背,1.旧指阴阳先生用镇物压邪，使凶化吉﹑险化夷。
回跸,1.指帝王返驾回宫。
回辟,1.邪曲不正。
回变,1.转变。
回飙,"1.亦作""回飙""。 
2.旋转的狂风。"
回颷,"1.同""回飙""。"
回镳,1.犹回马。镳，用以钳马口，古称勒，俗称嚼子。
回禀,旧时指向上级或长辈报告～父母。
回波词,"1.乐府曲名。每句六言，第一句用""回波尔时""四字起，故名◇亦为舞曲。"
回波乐,"1.唐教坊曲名。又舞曲名，词牌名。北魏尒朱荣曾与左右连手踏地歌唱《回波乐》，歌辞久佚。其曲调至唐入大曲。现存唐人词皆为六言绝句体。起句例用""回波尔时""四字。单调二十四字，平韵或仄韵。"
回波舞,1.舞曲名。
回脖,1.即围脖。
回薄,"1.谓循环相迫变化无常。 
2.盘旋回绕。 
3.指迂回绕行。"
回部,1.即回疆。
回采,修建巷道后进行采掘、装运等，叫做回采。
回残,1.旧时官府在营建后将剩馀物资变卖回缴国库之称。
回肠,回肠1小肠的一部分，上接空肠，下连盲肠，形状弯曲。（图见〖消化系统〗） 回肠2 [huícháng]〈书〉形容内心焦虑，好像肠子在旋转～九转。
回肠九转,1.形容内心焦虑不安，痛苦万分，仿佛肠子被多次牵转一样。
回肠伤气,"1.见""回肠荡气""。"
回腸,"1.见""回肠""。"
回潮,①已经晒干或烤干的东西又变湿连下几天雨，晒好的粮食又～了。②比喻已经消失了的旧事物、旧习惯、旧思想等重新出现近几年，一些地方的迷信活动又～了。
回车,1.回转其车。
回程,返回的路程～车。
回池,1.回曲的水池。
回遟,1.踌躇;徘徊。
回筹转策,1.运筹决策。
回处士,"1.见""回道人""。"
回川,1.回旋的河流。
回船,1.掉转船头;驾船返回。
回船转舵,1.犹见风使舵。喻说话做事随机应变。
回舛,1.纡曲错讹。
回次,1.量词。表示动作的次数。
回赐,1.春秋时颜回和端木赐的并称。回字子渊，鲁人;赐字子贡，卫人，均孔子弟子。
回从,1.曲意顺从。
回沓,1.回环杂沓。
回答,对问题给予解释；对要求表示意见～不出来ㄧ满意的～。
回獃,"1.同""回飙""。"
回带,1.缭绕。
回惮,1.犹回忌，顾忌。
回荡,（声音等）来回飘荡歌声在大厅里～。
回档,反弹”的对称。股市术语。股价上涨到一定价位出现暂时回落的现象。回档幅度一般小于上涨幅度。
回倒,"1.回旋倾倒。 
2.兑换。"
回道人,"1.吕洞宾的别称。亦称""回老""﹑""回处士""。"
回德,1.邪恶污秽的品行。
家冤,1.家族或家庭的冤仇。
家缘,"1.家业;家产。 
2.犹家务。 
3.指妻子。"
家院,1.旧指富豪人家的男仆。
家运,1.家庭的运数。
家酝,1.家中自酿的酒。
家箦,1.家中的床席。多指人临死时所卧之席。语本《礼记．檀弓上》曾子易箦。
家宅,住宅。也指家庭一人出事，闹得～不宁。
家哲,1.本家族中智慧卓越的人。
家政妇,1.犹女管家。
家支,1.四川凉山等地彝族奴隶制度下以父系血缘为纽带的氏族部落组织。解放前有近百个互不隶属﹑各有固定地域的黑彝家支。民主改革后，家支制度已不存在。
家至户察,1.到每家每户去察看。
家中哨,"1.见""家生哨""。"
家种,①人工种植把野生药材改为～。②自己家里种植的～蔬菜。
家主,"1.春秋时对卿大夫的称谓。 
2.主人;家长。"
家主母,1.女主人。
家主翁,1.谓一家之主。
家属,家庭内户主本人以外的成员，也指职工本人以外的家庭成员。
家状,1.旧指记述有关个人履历﹑三代﹑乡贯﹑年貌等的表状。
家赀,"1.见""家资""。"
家资,家财；家产～耗尽。
家訾,"1.见""家资""。"
家族,以血统关系为基础而形成的社会组织，包括同一血统的几辈人。
家族制度,1.生产资料为家庭所有，法律﹑礼教以保护家庭为基础，一切由家长支配的制度。
家祖,1.对人称自己的祖父为家祖。
痂查,1.痂皮。
痂癞,1.中医学名词。一种皮肤病。
痂皮,1.伤口或疮口表面上由血绣和纤维蛋白凝结而成的块状物﹐伤口或疮口痊愈后自行脱落。
梜匕,1.筷子和羹匙。
梜罗,"1.见""梜椤""。"
梜椤,"1.亦作""梜罗""。 
2.木名。叶可饲蚕。"
梜提,1.筷子。
笳愁,1.胡笳吹奏﹐音声悲愁。多用以形容怀念或悲切的心情。
笳笛,1.古代军中用以指挥节度士兵的乐器。
笳繁,1.谓胡笳吹奏之声四起。
笳鼓,1.笳声与鼓声。借指军乐。
笳鼓人,"1.亦称""笳鼓之徒""。 
2.指衙门中凶恶的吏卒。"
笳鼓之徒,"1.见""笳鼓人""。"
笳管,1.即胡笳。古代管乐器名。
笳寒,1.形容气候严寒。
笳角,1.古代军中乐器笳与角的并称。多借指军号。
笳声,1.胡笳吹奏的曲调。亦指边地之声。
笳箫,1.犹笳管。
笳喧,1.谓胡笳吹奏之声四起。
笳音,1.指胡笳之声。
笳吟,1.胡笳吹奏;笳声萦回。
袈裟,"1.梵文的音译。原意为""不正色""，佛教僧尼的法衣。佛制，僧人必须避免用青﹑黄﹑赤﹑白﹑黑五种正色，而用似黑之色，故称。原译作""毠?""，晋葛洪撰《字苑》改从衣作袈裟。"
傢伙,同‘家伙 ’。
猳国,1.一种猴类动物。
猳豕,1.公猪。
葭蕟,1.用芦苇编成的粗席。
葭萯,1.芦与荻。均为水生植物名。
葭管,1.装有葭莩灰的玉管。
葭灰,1.葭莩之灰。古人烧苇膜成灰，置于律管中，放密室内，以占气候。某一节候到，某律管中葭灰即飞出，示该节候已到。
葭萌,1.远方之民。
葭墙,1.以苇草编成的篱墙。
葭思,"1.""蒹葭之思""的省语。旧时书信中常用作对人怀念的套语。语本《诗．秦风．蒹葭》""蒹葭苍苍，白露为霜。所谓伊人，在水一方。"""
葭苇,1.芦苇。
跏趺,"1.佛教中修禅者的坐法两足交叉置于左右股上，称""全跏坐""。或单以左足押在右股上，或单以右足押在左股上，叫""半跏坐""。据佛经说，跏趺可以减少妄念，集中思想。 
2.泛指静坐，端坐。"
跏婆,1.对跛脚妇人的称呼。
跏子,1.瘸子，跛子。
跏坐,1.结跏趺坐。
嘉币,1.祭祀所用的缯帛。
嘉笾,1.指盛放于笾内的祭品。笾，古代祭祀时盛果实﹑干肉等的竹器。
嘉表,1.美好的仪表。
嘉材,1.指五谷材木。
嘉采,1.风采，风华。
嘉菜,1.佳美的菜蔬。
嘉草,1.蘻荷的别名。
嘉辰,1.良辰。
嘉称,1.美称。
嘉宠,1.嘉许并宠爱。
嘉辞,1.优美的言词。
嘉赐,"1.亦作""嘉锡""。 
2.谓朝廷的赏赐。"
嘉答,1.表示赞许的答复。多用于上级对下级。
嘉悼,1.赞美并悼念。
嘉德,1.美德。
嘉定和议,南宋与金的和约。1206年宋北伐攻金不利。1208年(嘉定元年)宋、金达成和约金宋为伯侄之国，宋纳金岁币银三十万两，绢三十万匹，犒军钱三百万贯，函送主战的大臣韩b029ｋ惺准队诮稹
嘉遁,"1.见""嘉遯""。"
嘉遯,"1.亦作""嘉遁""。 
2.旧时谓合乎正道的退隐，合乎时宜的隐遁。"
嘉尔曼,中篇小说。法国梅里美作于1845年。吉卜赛姑娘嘉尔曼因伤人罪被捕。押送途中士兵唐·霍赛私自放走了她，为此入狱。他出狱后找到了已加入走私团伙的嘉尔曼，杀死了她的情人，威逼她一起去美洲。嘉尔曼宁死不从，终于倒在唐·霍赛的刀下。
嘉鲂,1.鲂鱼的美称。鲂鱼味美，故云。
嘉肥,1.旧时称颂隐遁之词。
嘉服,1.吉服。
嘉福,1.幸福美好。
嘉功,"1.嘉奖功业。 
2.美善的业绩。"
嘉谷,"1.古以粟(小米)为嘉谷，后为五谷的总称。 
2.嘉禾。"
嘉瓜,1.优异的瓜。古代以为祥瑞的象征。
嘉果,1.美果。
嘉好,"1.指朝会。 
2.亲善友好者。"
嘉号,1.美名;好名声。
嘉耗,1.好消息。
嘉禾,"1.生长奇异的禾，古人以之为吉祥的征兆。亦泛指生长茁壮的禾稻。典出《书．微子之命》""唐叔得禾，异亩同颖，献诸天子。王命唐叔，归周公于东，作《归禾》。周公既得命禾，旅天子之命，作《嘉禾》。""孔传""唐叔，成王母弟，食邑内得异禾也……禾各生一垄而合为一穗。异亩同颖，天下和同之象，周公之德所致。""孔颖达疏""此以善禾为书之篇名，后世同颖之禾遂名为'嘉禾'，由此也。"" 
2.勋章的一种。民国初所定，中镂嘉禾，分九等，后废止。"
嘉亨,"1.语出《易．干》""亨者，嘉之会也。""孔颖达疏""言天能通畅万物，使物嘉美之会聚。""后因以""嘉亨""称事物的顺利美好。"
嘉话,"1.善言，有教益的话。 
2.佳话。流传一时，当做谈话资料的好事或趣事。"
嘉豢,1.祭祀用的牲畜。
嘉皇,1.对君王的美称。
嘉卉,1.美好的花草树木。
嘉会,"1.谓众美相聚。 
2.欢乐的聚会。多指美好的宴集。 
3.昌盛的际会。"
嘉诲,1.敬称别人对自己的教诲。
嘉惠,"1.对他人所给予的恩惠的敬称。 
2.指施予恩惠。"
嘉迹,1.美好的业迹。
嘉绩,1.美善的功绩。
嘉吉,"1.《易．随》""九五，孚于嘉，吉。""后即以为美善吉祥之称。"
嘉荐,1.祭品。
嘉奖,①称赞和奖励通令 ～ㄧ～有功人员。②称赞的话语或奖励的实物最高的～。
嘉奬,1.称赞和奖励;嘉许。
嘉节,1.美好的节日。
嘉景,1.美景。
嘉靖八才子,1.指明代嘉靖年间的陈束﹑王慎中﹑唐顺之﹑赵时春﹑熊过﹑任瀚﹑李开先﹑吕高八位文人。参阅《明史．文苑传三．陈束》。
嘉举,"1.举荐的美称。 
2.好事，喜庆之事。"
嘉句,1.佳句。
嘉爵,1.谓祭祀时的爵酒。
嘉客,1.佳客，贵宾。
嘉课,1.犹美绩。
嘉况,"1.亦作""嘉贶""。 
2.厚赐。"
嘉贶,"1.见""嘉况""。"
嘉赖,1.嘉许和倚赖。
嘉劳,1.嘉许慰劳。
嘉乐,1.古代用于宴飨祭祀的钟磬之乐。
嘉礼,"1.古代五礼(吉﹑凶﹑军﹑宾﹑嘉)之一。指饮食﹑婚冠﹑宾射﹑飨燕﹑脤膰﹑贺庆等礼。 
2.后世亦专指婚礼。"
嘉醴,1.甘美的泉水。
嘉丽,1.美好。
嘉栗,"1.形容酒佳美清醇。一说指嘉美的饮器。 
2.指美酒。"
嘉莲,1.一茎多花之莲。古代以之为祥瑞的象征。
嘉良,1.美好。
嘉粮,1.五谷的总称。
嘉量,1.古代标准量器。有鬴﹑豆﹑升三量『王莽改制，始建国元年颁新嘉量，合斛﹑斗﹑升﹑合﹑龠为一器。器上部为斛，下部为斗，左耳为升，右耳为合﹑龠。见《汉书．律历志上》。《西清古鉴》有汉嘉量图。原器现存台湾。
嘉林,1.美好的树林。
嘉令,1.美好。
嘉露,1.甘露。
嘉虑,1.犹良计。
嘉茂,1.丰美茂盛。
嘉美,"1.称许;赞美。 
2.好，美好。"
嘉勉,〈书〉嘉奖勉励函电～。
嘉苗,1.指禾苗。
嘉悯,1.嘉许和怜恤。
嘉名,"1.好名字;好名称。 
2.好名声。"
嘉命,"1.敬称别人的告语。 
2.称朝廷授官赐爵的敕命。"
嘉谟,1.犹嘉谋。
嘉谋,1.高明的经国谋略。
嘉木,1.美好的树木。
嘉慕,1.嘉许爱慕。
嘉纳,1.赞许并采纳。多为上对下而言。
嘉年,1.美好的年头;丰年。
嘉偶,"1.同""嘉耦""。"
嘉耦,指恩爱夫妻，美满姻缘使张女当初得嫁刘某，便称嘉耦矣。
嘉朋,1.良朋。
嘉平,"1.腊祭的别称。 
2.为腊月的别称。"
嘉期,"1.美好的时期。 
2.特指男女欢会之日。"
嘉骐鱼,1.鱼名。产山东登莱海中，体丰硕，鳞鬵趙紫，尾赤，头骨及目多腴肪，京人谓之大头鱼，亦曰海鲫鱼，本地称为嘉骐鱼。
嘉气,1.瑞气。
嘉巧,1.精善美妙。
嘉趣,1.美好的情趣。
嘉日,1.吉日。
嘉荣,1.草名。
嘉瑞,1.祥瑞。
嘉善,"1.犹言吉祥太平。 
2.善良，美好。 
3.谓赞美善人。"
嘉膳,1.美馔。
嘉觞,1.祭享时所用的美酒。觞，酒杯。借指酒。
嘉赏,"1.奖赏。 
2.赞赏。"
假途灭虢,"1.《左传．僖公五年》记载晋国向虞国借路去攻打虢国，在灭虢后的回师途中，把虞国也灭了◇以""假途灭虢""泛指以向对方借路为名行灭亡对方之实的计谋。"
假推,1.犹言虚度。
假托,①推托他～家里有事，站起来先走了。②假冒他～经理的名义签订合同。③凭借寓言是～故事来说明道理的文学作品。
假威,1.犹言狐假虎威。
假伪,1.虚假。
假卧,1.谓和衣而睡。
假五百,1.古代对边县人民实行军事编制，设伍﹑里﹑连﹑邑四级，连之长称假五百。一称假率。
假物,"1.借用事物。 
2.假造的东西。"
假息,"1.苟延残喘。 
2.暂时休息。"
假戏真做,"1.谓戏演得逼真。 
2.泛指把假的事情当作真事来做。"
假限,1.宽限;期限。
假相,同‘假象’。
假相国,1.代理相国。
假想,想像；假设 ②～敌ㄧ～的故事结局。
假想敌,军事演习时所设想的敌人。
假象,跟事物本质不符合的表面现象擦亮眼睛，不要被～所迷惑。也作假相。
假象牙,赛璐珞的旧称。
假惺惺,虚情假意的样子。
假形,1.托身;化身。
假休,1.休假。
假虚,1.作假;虚构。
假虚脾,1.犹言假心假意。
假续,1.虚假的延续。
假牙,牙齿脱落或拔除后镶上的牙，多用瓷或塑料等制成。
假延,1.暂且延缓。
假言,1.虚言，假话。
假言判断,断定事物情况之间的条件关系的复合判断。用如果……那么……”、只有……才……”等做逻辑联结词，如如果具有共产主义理想，那么就不怕任何艰难困苦”。规定条件的判断，即如果”后面的判断，叫前件”；以前件为条件的判断，即那么”后面的判断，叫后件”。条件有必要条件、充分条件、充分又必要条件三种，相应地，假言判断也就有三种。假言判断的真假，并不取决于前件和后件本身的真假，而取决于前件和后件之间是否有条件关系。
假言直言推理,第一个前提是假言判断，第二个前提和结论都是直言判断，分别肯定或否定该假言判断的前件或后件的推理。
假洋鬼子,"1.鲁迅作品《阿q正传》中的人物。在《不准革命》一章里，写钱府的大少爷""假洋鬼子""冒充革命而不准阿q革命◇因以""假洋鬼子""比喻心胸狭隘﹑苛求于人而不准他人革命的人。"
假易,1.宽纵;宽容。
假意,①虚假的心意虚情～。②故意（表现或做出）他～笑着问，‘刚来的这位是谁呢？’
假瘗,1.暂时安葬。
假隐,1.封建时代称以归隐为名，而实为欺世盗名的所谓隐士及其行为。
假妪,1.鸨母。
假喻,1.假借事物作比喻。
假誉驰声,1.传播虚假的名声。
假钺,"1.见""假黄钺""。"
假葬,"1.亦作""假墇""。 
2.谓暂时浅埋以待改葬。"
假遭,1.即使，如果。
假造,①模仿真的造假的～证件。②捏造～理由。
